"geonames_kw","geonames_id","lc_kw","lc_id",,,,,
"Nīlgiri",1261402,"Nīlgiri (India : District)","n83014081",,,,,
"Nīm Nadī",1261338,,,,,,,
"Nimbāj",1261378,"Nimaj (India)","n89202720",,,,,
"Nirmal",1261288,,,,,,,
"Nīsang",1261279,,,,,,,
"Noida",7279746,"Noida (India)","n99024441",,,,,
"Nongbah",1261213,,,,,,,
"Norang",1261200,,,,,,,
"North America",6255149,"North America","sh85092455",,,,,
"North Koel River",1261182,,,,,,,
"North Lakhimpur",1261181,,,,,,,
"Nuvem",1261111,,,,,,,
"Orissa",1261029,"Orissa (India)","n79071202",,,,,
"Pahalgām",1260880,"Pahlgām (India)","n81094925",,,,,
"Pahumāra Nadī",1260858,,,,,,,
"Pāi",1260856,,,,,,,
"Palmaner",1260674,,,,,,,
"Pāmbā Ār",1260632,,,,,,,
"Pāmban Island",1260626,,,,,,,
"Pan Nār",1440463,,,,,,,
"Panaji",1260607,"Panaji (India)","n81118501",,,,,
"Panam River",1260604,,,,,,,
"Paneli Tank",8433350,,,,,,,
"Pānīpat",1260476,"Pānīpat (India)","n85027097",,,,,
"Pāonta Sāhib",1260421,,,,,,,
"Pār River",1260264,,,,,,,
"Pāradgaon",1260395,,,,,,,
"Pārbatī River",1260347,,,,,,,
"Parsa",1260262,,,,,,,
"Parwar",6991353,,,,,,,
"Pashchim Champāran",1260208,,,,,,,
"Pathankot",8408318,"Pathānkot (India)","n2010208624",,,,,
"Patiala",1260108,"Patiāla (India)","n88147583",,,,,
"Patna",1260091,"Patna (India : District)","n83074424",,,,,
"Payaswani River",1259997,,,,,,,
"Pedda Cheruvu",1445547,,,,,,,
"Pedda Gedda",8439975,,,,,,,
"Penner River",1259912,,,,,,,
"Periyār River",1259873,,,,,,,
"Phāileng",1259823,,,,,,,
"Phek",1259785,"Phek (India)","n2012218605",,,,,
"Phulka River",1259740,,,,,,,
"Pidugurālla",1259704,,,,,,,
"Pihra",1259699,,,,,,,
"Pimpalgaon",1259665,,,,,,,
"Pimpri-Chinchwad",7626690,,,,,,,
"Ponda",1259429,"Ponda (India)","no93018697",,,,,
"Pondicherry",1259424,"Pondicherry (India : Union Territory)","n79095642",,,,,
"Ponnāni",1259411,,,,,,,
"Porbandar",1259395,"Porbandar (India)","n82123486",,,,,
"Port Blair",1259385,"Port Blair (India)","n82028960",,,,,
"Prānhita River",1259342,"Prānhita River (India)","sh85106093",,,,,
"Pulivendla",1259264,,,,,,,
"Puna River",1259241,,,,,,,
"Pūnch",1167718,"Pūnch (India : District)","n84025785",,,,,
"Pune",1259230,"Pune (India : District)","n85155103",,,,,
"Punjab",1259223,"Punjab (India)","n50000530",,,,,
"Pūrna River",1259172,,,,,,,
"Pūrna River",1259172,,,,,,,
"Qādiān",1259110,"Qādiān (India)","n2005038964",,,,,
"Raia",1259017,,,,,,,
"Raigarh",1259006,"Raigarh (India : District)","n85044847",,,,,
"Raipur Reservoir",8432790,,,,,,,
"Rāj Samand",1258798,,,,,,,
"Rājampet",1258922,,,,,,,
"Rajasmand",7701213,"Rājsamand (India : District)","n2002125994",,,,,
"Rājasthān",1258899,"Rajasthan (India)","n79061911",,,,,
"Rājaund",1258893,,,,,,,
"Rājkot",1258849,"Rajkot (India : District)","n80107696",,,,,
"Rāmganga Nadi",6994903,,,,,,,
"Rāmgarh",1258677,,,,,,,
"Rāmpur",1258622,"Rāmpur (Uttar Pradesh, India : District)","n89249798",,,,,
"Rāmrama Tola",1258574,,,,,,,
"Rāna Pratāp Sāgar",1258540,,,,,,,
"Rana Pratap Sagar Dam",1258539,,,,,,,
"Rangeet River",6941841,,,,,,,
"Rānīkhet",1258455,"Rānīkhet (India)","n84195943",,,,,
"Rānīpur",1258449,"Ranipur (India)",,,,,,
"Rann of Kutch",1265425,"Little Rann of Kachchh (India)","sh2012002000",,,,,
"Ratnagiri District",1258340,"Ratnāgiri (India : District)","n83150618",,,,,
"Rātu",1258323,,,,,,,
"Ravi River",1253917,"Ravi River (India and Pakistan)","sh87002222",,,,,
"Rehar River",1258151,,,,,,,
"Reotīpur",1258202,,,,,,,
"Rewāri",1258178,"Rewāri (India)","n2009004858",,,,,
"Rhenack",1258174,,,,,,,
"Rihand River",1258151,,,,,,,
"Rishīkesh",1258128,"Rishīkesh (India)","n84112059",,,,,
"Rishīkesh",1258128,,,,,,,
"Rohtak",1258077,"Rohtak (India : District)","n85160323",,,,,
"Rongram",1258050,,,,,,,
"Rukmāwati River",1257990,,,,,,,
"Rūpangarh",1257952,,,,,,,
"Sābarmatī",1257921,"Sabarmati (India)","n81082599",,,,,
"Sābarmatī River",1257920,"Sābarmatī River (India)","sh85116174",,,,,
"Sagi Nadī",1257827,,,,,,,
"Sagileru River",1257828,,,,,,,
"Sahāranpur",1257807,"Sahāranpur (India : District)","n81074452",,,,,
"Saharsa",1257805,,,,,,,
"Sāhibi River",1257791,,,,,,,
"Sai River",1257740,,,,,,,
"Sāili",1257763,,,,,,,
"Sākra",8442889,,,,,,,
"Salem",1257630,"Salem (India : District)","n82272161",,,,,
"Saligao",1257611,"Saligão (India)","no2003072731",,,,,
"Sālwan",1257583,,,,,,,
"Sāmba",1257545,,,,,,,
"Sambalpur",1257541,"Sambalpur (India)","n89145093",,,,,
"Sāmbhar Salt Lake",1257538,,,,,,,
"Sāngli",1257417,"Sāngli (India : District)","n85107301",,,,,
"Sangrūr",1257403,"Sangrūr (India)","n84065654",,,,,
"Sankh River",1257365,,,,,,,
"Santa Cruz",1257344,"Santa Cruz (Goa, India)","n89100195",,,,,
"Sapāi Nadī",1257299,,,,,,,
"Saralbhānga River",1257252,,,,,,,
"Saram",8446651,,,,,,,
"Sāran",1257248,"Saran (India)","n79105943",,,,,
"Saraswati River",1257222,"Saraswati River (India)","sh2004006015",,,,,
"Sāsoi River",1257075,,,,,,,
"Sāu River",1256975,,,,,,,
"Shājāpur",1256694,"Shajapur (India : District)","n89287461",,,,,
"Shangpung",1256652,,,,,,,
"Sharāvati River",1256634,,,,,,,
"Shella",8430980,"Shella (India)","no2002066313",,,,,
"Sher Nadī",1256567,,,,,,,
"Sherpur",7003611,,,,,,,
"Shetrunji River",1256555,,,,,,,
"Shevgaon",1256547,,,,,,,
"Shillong",1256523,"Shillong (India)","n81003906",,,,,
"Shimla",1256238,"Simla (India : District)","n89262616",,,,,
"Shirdi",1256489,"Shirdi (India)","n81010832",,,,,
"Shyok River",1256406,,,,,,,
"Sibsāgar",1256389,"Sibsāgar (India : District)","n85370258",,,,,
"Sihphir",8433057,,,,,,,
"Sīkar",1256321,"Sīkar (India : District)","n85107080",,,,,
"Sike River",1256316,,,,,,,
"Sikkim",1256312,"Sikkim (India)","n80038365",,,,,
"Sili",1256279,,,,,,,
"Silvāni",1256260,,,,,,,
"Singwada River",1256170,,,,,,,
"Sīp Nadi",1256108,,,,,,,
"Siroda",1256069,,,,,,,
"Sirohi",1256068,"Sirohi (India : District)","n84018080",,,,,
"Sirpur",1256063,,,,,,,
"Sītāmarhi",1255984,"Sitamarhi District (India)","n83060548",,,,,
"Sītānadī River",1255979,,,,,,,
"Siwān",1255930,"Siwan (India : District)","no2001009997",,,,,
"Sīwan",1255926,,,,,,,
"Siwāna",1255925,,,,,,,
"Solan",1255851,"Solan (India : District)","n85161932",,,,,
"Solāni River",1255849,,,,,,,
"Solāpur",1255847,"Sholāpur (India : District)","n82000514",,,,,
"Somesar Nadī",1255824,,,,,,,
"Sompeta",1255816,,,,,,,
"Son",1255809,,,,,,,
"Son River",1255729,"Son River (India)","sh85124811",,,,,
"Sonāi",1255802,,,,,,,
"Sonār River",1255782,"Sonar River (India)","sh85124815",,,,,
"Sonāwāri",1430686,,,,,,,
"Sone Nadī",1462665,,,,,,,
"Sonīpat",1255745,"Sonīpat (India)","n81085968",,,,,
"Subansirī River",1255591,,,,,,,
"Sukal",1255553,,,,,,,
"Sukh Rao",1441028,,,,,,,
"Sukha",7004657,,,,,,,
"Sukma",1255531,,,,,,,
"Sukri Nadī",1255524,,,,,,,
"Sukri River",1255521,,,,,,,
"Sukta River",1255519,,,,,,,
"Sultānpur",1255489,"Sultānpur (India : District)","n80075286",,,,,
"Sunāri",1255444,,,,,,,
"Sundardhunga River",1255439,,,,,,,
"Supaul",7626567,,,,,,,
"Sūrat",1255365,"Sūrat (India : District)","n81071711",,,,,
"Surendranagar",1255350,"Surendranagar (India : District)","n80143567",,,,,
"Surma River",1255332,,,,,,,
"Surya River",1255305,,,,,,,
"Sutlej River",1115006,"Sutlej River","sh85130912",,,,,
"Sutnga",1255291,,,,,,,
"Tādong",1255255,,,,,,,
"Talma Lungpa",1440367,,,,,,,
"Tamār",1255070,,,,,,,
"Tāmbraparni River",1255058,,,,,,,
"Tamenglong",1255056,,,,,,,
"Tamil Nādu",1255053,"Tamil Nadu (India)","n80061081",,,,,
"Tānūr",1254952,"Tānūr (India)","n78092669",,,,,
"Tāpi",1254944,,,,,,,
"Tārānagar",1254908,,,,,,,
"Tawā River",1254829,,,,,,,
"Tekanpur",1254798,,,,,,,
"Tezpur",1254710,"Tezpur (India)","n89110553",,,,,
"Tezu",1254709,,,,,,,
"Thāne",1254662,"Thāne (India : District)","n85045214",,,,,
"Thānga",1254656,,,,,,,
"Thiruvananthapuram",7909823,"Trivandrum (India : District)","n82103543",,,,,
"Thiruvarur",7646980,,,,,,,
"Tigharā Reservoir",1254542,,,,,,,
"Tinsukia",7627085,,,,,,,
"Tirāp River",1254416,,,,,,,
"Tiruchirappalli",1254388,,,,,,,
"Tirūr ",1254346,,,,,,,
"Tirūrangādi",1254345,,,,,,,
"Tisa Jo",1254316,,,,,,,
"Tizu River",1306003,,,,,,,
"Tondāpur",1254251,,,,,,,
"Tons Nadi",1440994,,,,,,,
"Tripura",1254169,"Tripura (India)","n80161616",,,,,
"Tuichang River",1254127,,,,,,,
"Tuisen",1254119,,,,,,,
"Tuivai",1254118,,,,,,,
"Udai Kalān Sāgar",1253991,,,,,,,
"Udaipur",1253989,"Udaipur (India : District)","n85156501",,,,,
"Ujjain",1253915,"Ujjain (India : District)","n81030113",,,,,
"Ukhrul",1253904,"Ukhrul (India : District)","n2005207713",,,,,
"Ulhās River",1253893,,,,,,,
"Ūmrār Nāla",7005143,,,,,,,
"United States",6252001,"United States","n78095330",,,,,
"Uppala River",1253724,,,,,,,
"Upper Bāri Doāb Canal",1253722,,,,,,,
"Upper Subansiri",1253720,"Upper Subansiri (India)","n2012218616",,,,,
"Upputeru River",1253709,,,,,,,
"Usgao",1253672,,,,,,,
"Usri Nadī",1253664,,,,,,,
"Utangan River",1253653,"Gambhir River (India)","sh89006018",,,,,
"Uttar Pradesh",1253626,"Uttar Pradesh (India)","n80125998",,,,,
"Uttarakhand",1444366,"Uttarakhand (India)","n2010001342",,,,,
"Vadodara",1253574,"Vadodara (India : District)","n82047072",,,,,
"Vaigai River",1253547,,,,,,,
"Vaippār River",1253540,,,,,,,
"Vaitarna River",1253531,,,,,,,
"Valpoy",1253471,,,,,,,
"Vamsadhāra River",1253458,"Vamsadhara River (India)","sh2012002791",,,,,
"Vārāhi Vārāhi Vārāhi ",1253411,,,,,,,
"Vārānasi",1253407,"Vārānasi (Uttar Pradesh, India : District)","n82017475",,,,,
"Varangaon",1253403,,,,,,,
"Varoli River",1253387,,,,,,,
"Vāsco Da Gāma",1253367,,,,,,,
"Vāshishti River",1253364,,,,,,,
"Vātrak River",1253353,,,,,,,
"Vellore",7646146,"Vellore (India : District)","no2002095688",,,,,
"Vena River",1253264,,,,,,,
"Venkatāpur",1253249,,,,,,,
"Verāval",1253237,"Veraval (India)","n2008206476",,,,,
"Vijayawāda",1253184,"Vijayawāda (India)","n81089485",,,,,
"Villanur",1253169,,,,,,,
"Vishākhapatnam",1253103,"Vishākhapatnam (India : District)","n85155188",,,,,
"Vuyyūru",1253077,,,,,,,
"Wābāgai",1253071,,,,,,,
"Wandūr",1252968,"Wandoor (India)","n89234298",,,,,
"Warangal",1252949,"Warangal (India : District)","n85014568",,,,,
"Wardha River",1252938,,,,,,,
"West Allahābād Branch",7003767,,,,,,,
"West Bengal",1252881,"West Bengal (India)","n81063203",,,,,
"West Siang",1252865,"West Siang District (India)","n83161362",,,,,
"Yagachi River",1252816,,,,,,,
"Yamuna",1252798,"Yamuna River (India)","sh87001822",,,,,
"Zunheboto",1252654,,,,,,,
